x,y,z
0.335085,0.760493,-0.001678
0.321143,0.733834,0.009829
0.318326,0.734601,0.012171
0.31586,0.736242,0.014223
0.313041,0.736976,0.016566
0.308846,0.73411,0.020041
0.301268,0.72224,0.026304
0.287036,0.700086,0.038064
0.269088,0.659114,0.052861
0.256352,0.631525,0.063365
0.248367,0.616497,0.069956
0.235591,0.5944,0.080507
0.225638,0.579374,0.088733
0.213443,0.55683,0.098801
0.225282,0.637161,0.089179
0.238574,0.688446,0.078276
0.248481,0.739289,0.070181
0.301551,0.928236,0.026604
0.324665,1.01958,0.007648
0.357436,1.1468,-0.019233
0.374942,1.22373,-0.03357
0.382176,1.2661,-0.039468
0.373668,1.27006,-0.032392
0.369404,1.27201,-0.028846
0.365133,1.27393,-0.025295
0.3616,1.27867,-0.022348
0.358286,1.28434,-0.019582
0.353974,1.2862,-0.015996
0.348702,1.28423,-0.011624
0.340391,1.26984,-0.00476
0.336128,1.27159,-0.001215
0.331858,1.27333,0.002334
0.328937,1.28077,0.004779
0.325749,1.28725,0.007444
0.321427,1.28893,0.011037
0.316236,1.28674,0.015342
0.311703,1.2874,0.019107
0.305076,1.2784,0.024587
0.299959,1.2761,0.02883
0.295674,1.27763,0.032392
0.291385,1.27913,0.035958
0.282791,1.28207,0.043101
0.272683,1.27714,0.051482
0.263742,1.27791,0.058908
0.255331,1.28151,0.065902
0.246555,1.28306,0.073194
0.236329,1.2757,0.081666
0.224223,1.28403,0.09174
0.21128,1.28725,0.102497
0.197388,1.28335,0.114022
0.180606,1.29094,0.127977
0.162638,1.24786,0.142785
0.145762,1.16605,0.156586
0.129828,1.16555,0.169816
0.11437,1.22591,0.182809
0.098537,1.17044,0.195812
0.086593,1.16855,0.205725
0.076174,1.20239,0.214465
0.065732,1.25706,0.223278
0.055354,1.17747,0.231688
0.047256,1.16674,0.238385
0.039422,1.16691,0.24489
0.031673,1.18799,0.25138
0.027726,1.244,0.254803
0.02355,1.24398,0.258271
0.019374,1.24394,0.261739
0.015423,1.21988,0.264957
0.011747,1.1868,0.267923
0.008068,1.1677,0.270928
0.004323,1.15858,0.274014
0.000434,1.15843,0.277243
-0.003454,1.15826,0.280472
-0.007461,1.16207,0.283808
-0.01215,1.18583,0.287764
-0.017071,1.21156,0.291917
-0.022206,1.23825,0.296251
-0.026362,1.23795,0.299701
-0.030518,1.23763,0.303151
-0.035437,1.17307,0.307068
-0.039206,1.16971,0.310189
-0.046994,1.1679,0.316651
-0.054833,1.167,0.323159
-0.067859,1.23367,0.334148
-0.076388,1.23551,0.341236
-0.086026,1.16153,0.349046
-0.097715,1.15948,0.358747
-0.110695,1.2035,0.36964
-0.12272,1.23447,0.379706
-0.138469,1.165,0.392603
-0.153776,1.1856,0.405367
-0.169685,1.23341,0.418702
-0.193403,1.17414,0.438243
-0.216345,1.22641,0.457429
-0.238467,1.16759,0.475646
-0.264557,1.18641,0.497359
-0.304861,1.2204,0.530915
-0.339481,1.27634,0.559808
-0.374257,1.27686,0.588687
-0.414941,1.27696,0.62247
-0.456795,1.27669,0.657224
-0.503166,1.28383,0.695748
-0.498261,1.14853,0.691324
-0.495146,1.02602,0.688418
-0.49681,0.912131,0.689505
-0.497484,0.819857,0.689824
-0.495912,0.735295,0.688299
-0.290129,-0.4044,0.508891
-0.259816,-0.399004,0.484267
-0.233428,-0.406117,0.462801
-0.208644,-0.39822,0.442678
-0.185988,-0.405597,0.424245
-0.166529,-0.401546,0.408439
-0.159674,-0.445904,0.402754
-0.403762,-1.04139,0.599608
-0.22479,-0.63463,0.455192
-0.493664,-1.43517,0.671663
-0.522868,-1.58734,0.695007
-0.523278,-1.75011,0.694921
-0.517415,-1.9478,0.689646
-0.524471,-2.14778,0.694866
-0.466,-2.17113,0.647281
-0.41699,-2.16369,0.607467
-0.374155,-2.18463,0.572597
-0.334822,-2.1816,0.540637
-0.294764,-2.17053,0.508106
-0.262075,-2.21053,0.481435
-0.234972,-2.17661,0.459493
-0.20525,-2.18012,0.435327
-0.1829,-2.18181,0.417157
-0.164217,-2.22586,0.401858
-0.146001,-2.18809,0.38715
-0.128205,-2.25552,0.372512
-0.112928,-2.25714,0.360091
-0.098571,-2.27555,0.348375
-0.083927,-2.29281,0.336428
-0.068398,-2.29393,0.323803
0.00965,-0.443503,0.265136
0.011221,-0.441592,0.263865
0.013215,-0.425683,0.262285
0.014657,-0.42575,0.261113
0.016123,-0.42481,0.259924
0.019,-0.424905,0.257586
0.021877,-0.424967,0.255247
0.024792,-0.415996,0.252901
0.027577,-0.403994,0.250668
0.031359,-0.378937,0.247658
0.034886,-0.364821,0.244828
0.039387,-0.35258,0.241201
0.043901,-0.372287,0.237482
0.048821,-0.369834,0.233489
0.053901,-0.370261,0.22936
0.05962,-0.363431,0.224729
0.065681,-0.373519,0.219776
0.072637,-0.367118,0.214139
0.080672,-0.378501,0.207579
0.089619,-0.376174,0.200313
0.099631,-0.386525,0.192149
0.110478,-0.384902,0.183337
0.122743,-0.388486,0.173359
0.136344,-0.384554,0.162315
0.152562,-0.397863,0.149099
0.168993,-0.408335,0.135717
0.185922,-0.391014,0.122002
0.201488,-0.38326,0.10937
0.230648,-0.409394,0.085602
0.244274,-0.432549,0.074468
0.553481,-1.01722,-0.178355
0.529704,-0.918248,-0.158774
0.480154,-0.820201,-0.118249
0.464365,-0.78438,-0.105324
0.446064,-0.74471,-0.090347
0.301956,-0.475685,0.027474
0.305826,-0.469402,0.024345
0.316157,-0.47805,0.015926
0.312149,-0.463035,0.019222
0.303528,-0.445053,0.026276
0.30803,-0.440333,0.022628
0.351157,-0.503286,-0.012587
0.352861,-0.501452,-0.013966
0.347187,-0.484077,-0.00931
0.331114,-0.455768,0.003826
0.316382,-0.429912,0.015867
0.32165,-0.422572,0.011604
0.325165,-0.423864,0.008744
0.329218,-0.425862,0.005445
0.339079,-0.435894,-0.002596
0.342141,-0.436321,-0.005085
0.343617,-0.434539,-0.006281
0.345088,-0.432749,-0.007472
0.346552,-0.43095,-0.008657
0.348011,-0.429144,-0.009838
0.351627,-0.430192,-0.01278
0.354532,-0.426513,-0.015132
0.36091,-0.431021,-0.020327
0.363821,-0.427238,-0.022683
0.368043,-0.42882,-0.026119
